occ,statecensus,Fraction of Workforce,description
4620,95,1.2e-5,Recreation and fitness workers
9620,95,4.2e-5,"Laborers and freight, stock, and material movers, hand"
0310,95,3.7e-5,Food service managers
2320,95,3.8e-5,Secondary school teachers
2100,95,3.2e-5,"Lawyers, Judges, magistrates, and other judicial workers"
5700,95,5.4e-5,Secretaries and administrative assistants
0050,95,1.2e-5,Marketing and sales managers
0840,95,2e-6,Financial analysts
6765,95,2e-6,Miscellaneous construction and related workers
1420,95,5e-6,Environmental engineers
7330,95,4e-6,Industrial and refractory machinery mechanics
5000,95,5.1e-5,First-line supervisors/managers of office and administrative support workers
4700,95,7.1e-5,First-line supervisors/managers of retail sales workers
0430,95,9.4e-5,"Managers, all other"
4030,95,6.1e-5,Food preparation workers
9130,95,5.6e-5,Driver/sales workers and truck drivers
4220,95,5.6e-5,Janitors and building cleaners
4720,95,9.5e-5,Cashiers
4020,95,7.7e-5,Cooks
2630,95,1.5e-5,Designers
3320,95,6e-6,Diagnostic related technologists and technicians
4540,95,1.2e-5,Tour and travel guides
1410,95,6e-6,Electrical and electronics engineers
4920,95,3.7e-5,Real estate brokers and sales agents
2310,95,1.03e-4,Elementary and middle school teachers
5240,95,6.7e-5,Customer service representatives
5860,95,8.3e-5,"Office clerks, general"
0630,95,1.6e-5,Human resource workers
5550,95,8e-6,Postal service mail carriers
1050,95,1.6e-5,Computer support specialists
2060,95,4e-6,"Religious workers, all other"
6220,95,4e-6,"Brickmasons, blockmasons, and stonemasons"
6530,95,8e-6,Solar Photovoltaic Installers
2720,95,1.4e-5,"Athletes, coaches, umpires, and related workers"
0220,95,3.2e-5,Construction managers
0726,95,3e-6,Fundraisers
4840,95,6e-6,"Sales representatives, services, all other"
4950,95,3e-6,"Door-to-door sales workers, news and street vendors, and related workers"
5400,95,2.9e-5,Receptionists and information clerks
0340,95,1.2e-5,Lodging managers
3850,95,2.6e-5,Police and sheriff's patrol officers
1020,95,1.2e-5,"Software developers, applications and systems software"
0800,95,6.2e-5,Accountants and auditors
2200,95,3.9e-5,Postsecondary teachers
3245,95,7e-6,"Therapists, all other"
4140,95,1.4e-5,Dishwashers
4610,95,2e-5,Personal and home care aides
3160,95,7e-6,Physical therapists
6330,95,1.3e-5,"Drywall installers, ceiling tile installers, and tapers"
7800,95,8e-6,Bakers
2145,95,5e-6,Paralegals and legal assistants
4760,95,1.21e-4,Retail salespersons
6660,95,5e-6,Construction and building inspectors
0150,95,5e-6,Purchasing managers
3255,95,7.8e-5,Registered nurses
6420,95,1.5e-5,"Painters, construction and maintenance"
5120,95,3.3e-5,"Bookkeeping, accounting, and auditing clerks"
1460,95,3e-6,Mechanical engineers
4530,95,8e-6,"Baggage porters, bellhops, and concierges"
0520,95,8e-6,"Wholesale and retail buyers, except farm products"
3640,95,1.1e-5,Dental assistants
1107,95,2.5e-5,"Computer occupations, all other"
4230,95,5.5e-5,Maids and housekeeping cleaners
2160,95,8e-6,Miscellaneous legal support workers
5620,95,4.7e-5,Stock clerks and order fillers
4110,95,8.6e-5,Waiters and waitresses
3600,95,4.1e-5,"Nursing, psychiatric, and home health aides"
4520,95,6e-6,Miscellaneous personal appearance workers
2540,95,3.1e-5,Teacher assistants
8965,95,8e-6,"Production workers, all other"
3300,95,7e-6,Clinical laboratory technologists and technicians
3655,95,2e-6,"Miscellaneous healthcare support occupations, including medical equipment preparers"
2810,95,2e-6,"News analysts, reporters, and correspondents"
9140,95,3.3e-5,Taxi drivers and chauffeurs
4120,95,1.3e-5,"Food servers, nonrestaurant"
7150,95,5e-6,Automotive body and related repairers
3060,95,2.8e-5,Physicians and surgeons
4800,95,6e-6,Advertising sales agents
2040,95,7e-6,Clergy
2010,95,1.8e-5,Social workers
0640,95,2e-6,"Compensation, benefits, and job analysis specialists"
5160,95,9e-6,Tellers
4810,95,1.2e-5,Insurance sales agents
2340,95,3.5e-5,Other teachers and instructors
6230,95,5.9e-5,Carpenters
3310,95,3e-6,Dental hygienists
2000,95,2e-5,Counselors
0010,95,2.7e-5,Chief executives
7340,95,1.4e-5,"Maintenance and repair workers, general"
1900,95,1e-6,Agricultural and food science technicians
3930,95,4.5e-5,Security guards and gaming surveillance officers
3710,95,1e-6,First-line supervisors/managers of police and detectives
0820,95,6e-6,Budget analysts
1360,95,1.6e-5,Civil engineers
9120,95,1.5e-5,Bus drivers
5520,95,9e-6,Dispatchers
5810,95,7e-6,Data entry keyers
5300,95,1.4e-5,"Hotel, motel, and resort desk clerks"
5600,95,6e-6,"Production, planning and expediting clerks"
0420,95,1.6e-5,Social and community service managers
2910,95,1.2e-5,Photographers
8760,95,1e-6,"Medical, dental, and ophthalmic laboratory technicians"
9610,95,7e-6,Cleaners of vehicles and equipment
4060,95,1.5e-5,"Counter attendants, cafeteria, food concession, and coffee shop"
4150,95,8e-6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
6355,95,2.3e-5,Electricians
7140,95,7e-6,Aircraft mechanics and service technicians
5820,95,2e-6,Word processors and typists
2750,95,9e-6,"Musicians, singers, and related workers"
4600,95,2.1e-5,Child care workers
4510,95,1.2e-5,"Hairdressers, hairstylists, and cosmetologists"
3500,95,9e-6,Licensed practical and licensed vocational nurses
5110,95,7e-6,Billing and posting clerks and machine operators
4000,95,2.4e-5,Chefs and head cooks
5320,95,7e-6,"Library assistants, clerical"
7420,95,2e-6,Telecommunications line installers and repairers
0410,95,2.8e-5,"Property, real estate, and community association managers"
4850,95,2.1e-5,"Sales representatives, wholesale and manufacturing"
6360,95,2e-6,Glaziers
0540,95,8e-6,"Claims adjusters, appraisers, examiners, and investigators"
2105,95,2e-6,Judicial law clerks
8300,95,4e-6,Laundry and dry-cleaning workers
7000,95,6e-6,"First-line supervisors/managers of mechanics, installers, and repairers"
1010,95,7e-6,Computer programmers
2860,95,5e-6,Miscellaneous media and communications workers
7510,95,1e-6,"Coin, vending, and amusement machine servicers and repairers"
0650,95,4e-6,Training and development specialists
0565,95,8e-6,Compliance officers
5165,95,1e-6,"Financial clerks, all other"
1820,95,4e-6,Psychologists
7210,95,7e-6,Bus and truck mechanics and diesel engine specialists
0350,95,1.4e-5,Medical and health services managers
1530,95,1.6e-5,"Engineers, all other"
0100,95,4e-6,Administrative services managers
5500,95,4e-6,Cargo and freight agents
6515,95,4e-6,Roofers
0110,95,7e-6,Computer and information systems managers
4200,95,7e-6,First-line supervisors/managers of housekeeping and janitorial workers
0600,95,5e-6,Cost estimators
4250,95,5.6e-5,Grounds maintenance workers
3645,95,1.5e-5,Medical assistants
5610,95,5e-6,"Shipping, receiving, and traffic clerks"
3820,95,2e-6,Detectives and criminal investigators
9050,95,1.2e-5,Flight attendants
0700,95,3e-6,Logisticians
8800,95,1e-6,Packaging and filling machine operators and tenders
0230,95,2.2e-5,Education administrators
0020,95,2.4e-5,General and operations managers
4040,95,1.2e-5,Bartenders
6260,95,5e-5,Construction laborers
1550,95,8e-6,"Engineering technicians, except drafters"
6440,95,1.7e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
6200,95,2.1e-5,First-line supervisors/managers of construction trades and extraction workers
0205,95,3e-5,"Farmers, Ranchers, and Other Agricultural Managers"
4210,95,5e-6,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
6320,95,1.4e-5,Operating engineers and other construction equipment operators
6520,95,2e-6,Sheet metal workers
6050,95,2.2e-5,Miscellaneous agricultural workers
3050,95,5e-6,Pharmacists
0120,95,3e-5,Financial managers
9030,95,9e-6,Aircraft pilots and flight engineers
9000,95,6e-6,"Supervisors, transportation and material moving workers"
5940,95,9e-6,"Office and administrative support workers, all other"
0530,95,1e-5,"Purchasing agents, except wholesale, retail, and farm products"
7220,95,7e-6,Heavy vehicle and mobile equipment service technicians and mechanics
7810,95,1.3e-5,"Butchers and other meat, poultry, and fish processing workers"
0850,95,1.3e-5,Personal financial advisors
7200,95,1.4e-5,Automotive service technicians and mechanics
4710,95,2.6e-5,First-line supervisors/managers of non-retail sales workers
0160,95,3e-6,"Transportation, storage, and distribution managers"
5360,95,2e-6,"Human resources assistants, except payroll and timekeeping"
7010,95,6e-6,"Computer, automated teller, and office machine repairers"
2550,95,8e-6,"Other education, training, and library workers"
1510,95,4e-6,Nuclear engineers
5850,95,0,"Mail clerks and mail machine operators, except postal service"
4340,95,3e-6,Animal trainers
4300,95,1e-6,First-line supervisors/managers of gaming workers
0136,95,1.4e-5,Human Resources Managers
4900,95,0,"Models, demonstrators, and product promoters"
3220,95,4e-6,Respiratory therapists
2600,95,9e-6,Artists and related workers
2430,95,6e-6,Librarians
3250,95,8e-6,Veterinarians
8810,95,2e-6,Painting workers
4130,95,1.7e-5,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
3945,95,9e-6,Transportation security screeners
6730,95,2e-6,Highway maintenance workers
2300,95,9e-6,Preschool and kindergarten teachers
2760,95,6e-6,"Entertainers and performers, sports and related workers, all other"
8740,95,1.3e-5,"Inspectors, testers, sorters, samplers, and weighers"
9600,95,9e-6,Industrial truck and tractor operators
1300,95,8e-6,"Architects, except naval"
5030,95,0,"Communications equipment operators, all other"
3955,95,1.8e-5,"Lifeguards and other recreational, and all other protective service workers"
4740,95,5e-6,Counter and rental clerks
7840,95,1e-6,Food batchmakers
4430,95,1.2e-5,Miscellaneous entertainment attendants and related workers
9350,95,4e-6,Parking lot attendants
9640,95,5e-6,"Packers and packagers, hand"
0710,95,2.1e-5,Management analysts
4650,95,1.5e-5,"Personal care and service workers, all other"
2016,95,4e-6,Social and human service assistants
7750,95,8e-6,Miscellaneous assemblers and fabricators
8550,95,3e-6,"Woodworkers, all others"
2825,95,4e-6,Public relations specialists
4050,95,7e-6,"Combined food preparation and serving workers, including fast food"
7260,95,3e-6,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
9310,95,5e-6,Ship and boat captains and operators
7240,95,0,Small engine mechanics
7700,95,6e-6,First-line supervisors/managers of production and operating workers
3540,95,3e-6,Other healthcare practitioners and technical occupations
5410,95,2e-5,Reservation and transportation ticket agents and travel clerks
8255,95,4e-6,Printing machine operators
5510,95,9e-6,Couriers and messengers
2330,95,7e-6,Special education teachers
3258,95,1e-6,Nurse practitioners
2840,95,2e-6,Technical writers
4965,95,1.2e-5,"Sales and related workers, all other"
1760,95,4e-6,"Physical scientists, all other"
1105,95,5e-6,Network and computer systems administrators
9630,95,1e-6,Machine feeders and offbearers
1840,95,1e-6,Urban and regional planners
9300,95,3e-6,Sailors and marine oilers
5310,95,2e-6,"Interviewers, except eligibility and loan"
5800,95,2e-6,Computer operators
6010,95,1e-6,Agricultural inspectors
1540,95,2e-6,Drafters
8600,95,2e-6,"Power plant operators, distributors, and dispatchers"
0910,95,8e-6,Loan counselors and officers
9040,95,3e-6,Air traffic controllers and airfield operations specialists
4350,95,5e-6,Nonfarm animal caretakers
8620,95,2e-6,Water and liquid waste treatment plant and system operators
7020,82,4e-6,Radio and telecommunications equipment installers and repairers
0640,82,1e-6,"Compensation, benefits, and job analysis specialists"
4110,82,6.3e-5,Waiters and waitresses
4030,82,4.5e-5,Food preparation workers
4760,82,1.23e-4,Retail salespersons
9130,82,1.55e-4,Driver/sales workers and truck drivers
3245,82,9e-6,"Therapists, all other"
0735,82,9e-6,Market research analysts and marketing specialists
5700,82,1.13e-4,Secretaries and administrative assistants
0310,82,4.4e-5,Food service managers
5120,82,6.6e-5,"Bookkeeping, accounting, and auditing clerks"
4230,82,3.9e-5,Maids and housekeeping cleaners
5000,82,4.9e-5,First-line supervisors/managers of office and administrative support workers
0050,82,3e-5,Marketing and sales managers
4220,82,8.2e-5,Janitors and building cleaners
5240,82,1.02e-4,Customer service representatives
4200,82,1.5e-5,First-line supervisors/managers of housekeeping and janitorial workers
1060,82,2e-6,Database administrators
0137,82,4e-6,Training and Development Managers
2000,82,4e-5,Counselors
4720,82,8.7e-5,Cashiers
3945,82,2e-6,Transportation security screeners
7720,82,5e-6,"Electrical, electronics, and electromechanical assemblers"
4040,82,1.2e-5,Bartenders
4620,82,7e-6,Recreation and fitness workers
4010,82,3e-5,First-line supervisors/managers of food preparation and serving workers
5310,82,7e-6,"Interviewers, except eligibility and loan"
2310,82,9e-5,Elementary and middle school teachers
5220,82,4e-6,"Court, municipal, and license clerks"
1107,82,2.5e-5,"Computer occupations, all other"
0800,82,4.8e-5,Accountants and auditors
1530,82,2.4e-5,"Engineers, all other"
1410,82,1e-5,Electrical and electronics engineers
8740,82,2.4e-5,"Inspectors, testers, sorters, samplers, and weighers"
3420,82,2.2e-5,Health practitioner support technologists and technicians 
4850,82,4.9e-5,"Sales representatives, wholesale and manufacturing"
5860,82,2.9e-5,"Office clerks, general"
4740,82,2e-6,Counter and rental clerks
6050,82,1.51e-4,Miscellaneous agricultural workers
2016,82,1.2e-5,Social and human service assistants
3535,82,2e-6,Miscellaneous health technologists and technicians
0430,82,1.92e-4,"Managers, all other"
2540,82,3.5e-5,Teacher assistants
4610,82,5.3e-5,Personal and home care aides
3300,82,9e-6,Clinical laboratory technologists and technicians
3060,82,2.3e-5,Physicians and surgeons
0110,82,1.5e-5,Computer and information systems managers
1050,82,2e-5,Computer support specialists
0650,82,5e-6,Training and development specialists
7320,82,2e-6,Home appliance repairers
2920,82,1e-6,"Television, video, and motion picture camera operators and editors"
3740,82,1.1e-5,Fire fighters
0420,82,9e-6,Social and community service managers
4965,82,8e-6,"Sales and related workers, all other"
4750,82,5e-6,Parts salespersons
7260,82,7e-6,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
2630,82,1.7e-5,Designers
0010,82,3.6e-5,Chief executives
5530,82,1e-6,"Meter readers, utilities"
4700,82,1.07e-4,First-line supervisors/managers of retail sales workers
4060,82,6e-6,"Counter attendants, cafeteria, food concession, and coffee shop"
6260,82,7e-5,Construction laborers
8965,82,2.7e-5,"Production workers, all other"
1220,82,2e-6,Operations research analysts
4250,82,4.5e-5,Grounds maintenance workers
5100,82,3e-6,Bill and account collectors
0120,82,3.1e-5,Financial managers
3255,82,7.7e-5,Registered nurses
0910,82,2.6e-5,Loan counselors and officers
4240,82,2e-6,Pest control workers
4920,82,4.6e-5,Real estate brokers and sales agents
2430,82,2e-6,Librarians
7200,82,4e-5,Automotive service technicians and mechanics
0410,82,2.7e-5,"Property, real estate, and community association managers"
0060,82,2e-6,Public relations managers
2740,82,1e-6,Dancers and choreographers
2320,82,3.2e-5,Secondary school teachers
1300,82,6e-6,"Architects, except naval"
0940,82,4e-6,Tax preparers
5230,82,3e-6,"Credit authorizers, checkers, and clerks"
0350,82,1.9e-5,Medical and health services managers
2200,82,4e-5,Postsecondary teachers
0710,82,1.6e-5,Management analysts
0230,82,2.9e-5,Education administrators
